1,NULL,NULL,NULL,NULL,Adjustable Race,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,00:00.0,NULL,Current
2,NULL,NULL,NULL,NULL,Bearing Ball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,00:00.0,NULL,Current
3,NULL,NULL,NULL,NULL,BB Ball Bearing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,00:00.0,NULL,Current
4,NULL,NULL,NULL,NULL,Headset Ball Bearings,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,800,600,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,00:00.0,NULL,Current
5,NULL,NULL,NULL,NULL,Blade,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,00:00.0,NULL,Current
6,NULL,NULL,NULL,NULL,LL Crankarm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Black,500,375,NULL,NULL,NA,NULL,0,NULL,L ,NULL,00:00.0,NULL,Current
7,NULL,NULL,NULL,NULL,ML Crankarm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Black,500,375,NULL,NULL,NA,NULL,0,NULL,M ,NULL,00:00.0,NULL,Current
8,NULL,NULL,NULL,NULL,HL Crankarm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,00:00.0,NULL,Current
9,NULL,NULL,NULL,NULL,Chainring Bolts,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Silver,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,00:00.0,NULL,Current
10,NULL,NULL,NULL,NULL,Chainring Nut,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Silver,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,00:00.0,NULL,Current
11,NULL,NULL,NULL,NULL,Chainring,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Black,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,00:00.0,NULL,Current
12,NULL,NULL,NULL,NULL,Crown Race,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,00:00.0,NULL,Current
13,NULL,NULL,NULL,NULL,Chain Stays,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,00:00.0,NULL,Current
14,NULL,NULL,NULL,NULL,Decal 1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,00:00.0,NULL,Current
